timestamp,commit,pr,subject,suite,module,lines_covered,lines_total,line_pct,branches_covered,branches_total,branch_pct,instructions_covered,instructions_total,instruction_pct
2026-09-15T15:14:46Z,51e9e43,1772,chore(ci): harden Gemini issue triage against prompt injection,unit,clustering,553,1779,31.08,169,834,20.26,3115,9947,31.32
2026-09-15T15:14:46Z,51e9e43,1772,chore(ci): harden Gemini issue triage against prompt injection,unit,data,1309,2642,49.55,797,2223,35.85,9451,19410,48.69
2026-09-15T15:14:46Z,51e9e43,1772,chore(ci): harden Gemini issue triage against prompt injection,unit,heatmaps,242,275,88.0,120,146,82.19,1685,1912,88.13
2026-09-15T15:14:46Z,51e9e43,1772,chore(ci): harden Gemini issue triage against prompt injection,unit,library,512,561,91.27,211,260,81.15,2890,3168,91.22
2026-09-15T15:14:46Z,51e9e43,1772,chore(ci): harden Gemini issue triage against prompt injection,unit,ui,115,148,77.7,43,66,65.15,561,745,75.3
2026-09-15T15:14:46Z,51e9e43,1772,chore(ci): harden Gemini issue triage against prompt injection,unit,TOTAL,2731,5405,50.53,1340,3529,37.97,17702,35182,50.32
2026-09-15T23:03:49Z,6015319,1778,ci: record unit test coverage history,unit,clustering,553,1779,31.08,170,834,20.38,3115,9947,31.32
2026-09-15T23:03:49Z,6015319,1778,ci: record unit test coverage history,unit,data,1309,2642,49.55,797,2223,35.85,9451,19410,48.69
2026-09-15T23:03:49Z,6015319,1778,ci: record unit test coverage history,unit,heatmaps,242,275,88.0,120,146,82.19,1685,1912,88.13
2026-09-15T23:03:49Z,6015319,1778,ci: record unit test coverage history,unit,library,512,561,91.27,211,260,81.15,2890,3168,91.22
2026-09-15T23:03:49Z,6015319,1778,ci: record unit test coverage history,unit,ui,115,148,77.7,43,66,65.15,561,745,75.3
2026-09-15T23:03:49Z,6015319,1778,ci: record unit test coverage history,unit,TOTAL,2731,5405,50.53,1341,3529,38.0,17702,35182,50.32
2026-09-16T10:07:38Z,3884f22,1783,build(deps): bump androidx.compose:compose-bom,unit,clustering,553,1779,31.08,171,834,20.5,3115,9947,31.32
2026-09-16T10:07:38Z,3884f22,1783,build(deps): bump androidx.compose:compose-bom,unit,data,1309,2642,49.55,797,2223,35.85,9451,19410,48.69
2026-09-16T10:07:38Z,3884f22,1783,build(deps): bump androidx.compose:compose-bom,unit,heatmaps,242,275,88.0,120,146,82.19,1685,1912,88.13
2026-09-16T10:07:38Z,3884f22,1783,build(deps): bump androidx.compose:compose-bom,unit,library,512,561,91.27,211,260,81.15,2890,3168,91.22
2026-09-16T10:07:38Z,3884f22,1783,build(deps): bump androidx.compose:compose-bom,unit,ui,115,148,77.7,43,66,65.15,561,745,75.3
2026-09-16T10:07:38Z,3884f22,1783,build(deps): bump androidx.compose:compose-bom,unit,TOTAL,2731,5405,50.53,1342,3529,38.03,17702,35182,50.32
2026-09-18T16:30:00Z,9056fd9,1785,feat: add polygon z-index support,unit,clustering,553,1779,31.08,169,834,20.26,3115,9947,31.32
2026-09-18T16:30:00Z,9056fd9,1785,feat: add polygon z-index support,unit,data,1311,2644,49.58,797,2223,35.85,9473,19433,48.75
2026-09-18T16:30:00Z,9056fd9,1785,feat: add polygon z-index support,unit,heatmaps,242,275,88.0,120,146,82.19,1685,1912,88.13
2026-09-18T16:30:00Z,9056fd9,1785,feat: add polygon z-index support,unit,library,512,561,91.27,211,260,81.15,2890,3168,91.22
2026-09-18T16:30:00Z,9056fd9,1785,feat: add polygon z-index support,unit,ui,115,148,77.7,43,66,65.15,561,745,75.3
2026-09-18T16:30:00Z,9056fd9,1785,feat: add polygon z-index support,unit,TOTAL,2733,5407,50.55,1340,3529,37.97,17724,35205,50.35
